浙江频道 2026/07/28 12:22:10 更新,#genre#
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel10/720p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江好易购,http://ali-m-l.cztv.com/channels/lantian/channel011/1080p.m3u8
浙江好易购,https://ali-m-l.cztv.com/channels/lantian/channel011/1080p.m3u8
浙江之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江之江纪录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
杭州综合,http://l.cztvcloud.com/channels/lantian/sxchannel01/1080p.m3u8
宁波新闻综合,http://l.cztvcloud.com/channels/lantian/sxchannel02/1080p.m3u8
温州新闻综合,http://l.cztvcloud.com/channels/lantian/sxchannel03/1080p.m3u8
绍兴新闻综合,http://l.cztvcloud.com/channels/lantian/sxchannel04/1080p.m3u8
湖州新闻综合,http://l.cztvcloud.com/channels/lantian/sxchannel05/1080p.m3u8
嘉兴新闻综合,http://l.cztvcloud.com/channels/lantian/sxchannel06/1080p.m3u8
金华新闻综合,http://l.cztvcloud.com/channels/lantian/sxchannel07/1080p.m3u8
衢州新闻综合,http://l.cztvcloud.com/channels/lantian/sxchannel08/1080p.m3u8
丽水新闻综合,http://l.cztvcloud.com/channels/lantian/sxchannel09/1080p.m3u8
台州新闻综合,http://l.cztvcloud.com/channels/lantian/sxchannel10/1080p.m3u8
舟山新闻综合,http://l.cztvcloud.com/channels/lantian/sxchannel11/1080p.m3u8
云和综合,http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8
庆元综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8
松阳综合,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
缙云综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8
遂昌综合,http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8
青田综合,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
龙泉综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8
余姚姚江文化,https://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8
象山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
临平新闻,http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8
余杭未来,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
余杭综合,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8
萧山综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
萧山生活,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
长兴新闻,http://l.cztvcloud.com/channels/lantian/SXchangxing1/720p.m3u8
上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
嵊泗综合,http://l.cztvcloud.com/channels/lantian/SXshengsi1/720p.m3u8
新昌综合,https://l.cztvcloud.com/channels/lantian/SXxinchang1/720p.m3u8
新昌生活,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
文成综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
诸暨综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8
苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8
苍南新闻综合,https://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8
龙游新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
龙游新闻综合,https://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
龙游生活娱乐,https://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
永嘉新闻综合,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8
洞头综合,http://l.cztvcloud.com/channels/lantian/SXdongtou1/720p.m3u8
平湖综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8
普陀综合,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8
开化新闻综合,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8
开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8
衢江综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8
武义新闻综合,http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8
兰溪综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
兰溪综合,https://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
岱山综合,https://l.cztvcloud.com/channels/lantian/SXdaishan01/720p.m3u8
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
嵊州新闻综合,https://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
衢州新闻综合,https://ali-xwl.cztv.com:443/live/quzhouds.m3u8
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
绍兴公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
柯桥新闻综合,https://play-a2.quklive.com/live/1640945211435051.m3u8
柯桥新闻综合,http://play-a2.quklive.com/live/1640945211435051.flv
东阳影视生活,http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8
湖州新闻综合,http://hzcm-live.media.hugd.com/3f5fa7d64c7c46a38c6bd8ad35e836cc/65128273761b4731ae53729ea6dcf932.m3u8?auth_key=2277598215-9d21c15111244bea8d298c361d31a72e-0-d031198f58d44b0e91ba2e3f3b188865
湖州公共,http://hzcm-live.media.hugd.com/1e6b554b9ab74513958c0e1ffe664d22/9acaa7634309494cb29a85eb12136607.m3u8?auth_key=2272900830-9a2389b8bf4e49d580d4ad807423d326-0-ea78a5c7a678c436263582d368f5009e
湖州文化娱乐,http://hzcm-live.media.hugd.com/613c47f0ab0d4eaa98b21378d0db6ded/0051d31c9dd543a7825eea4e49675b2a.m3u8?auth_key=2277598059-0a5ebfa1c0dc4671b42a60810fc37039-0-fa625b7d1feab612062453c12e3c8887
嘉兴新闻综合,https://ali-xwl.cztv.com:443/live/jiaxingds.m3u8
嘉兴新闻综合,http://play-sh13.quklive.com/live/1675942165226154.m3u8?auth_key=2028730261-e7db80d294b04dc9ab5c8136b4c88b74-0-f0795306faa59c7edb35860a8ae63528
嘉兴公共,http://play-sh13.quklive.com/live/1675149601192103.m3u8?auth_key=2028730429-9ab7f7f0267946e880ec46ce3d57ec9e-0-eb04d7f7e549054293604b04150cefa1
嘉兴文化影视,http://play-sh13.quklive.com/live/1675149625220101.m3u8?auth_key=2028730374-3a60eb8e324f416aa3b26dda7679d920-0-22dc7efa8452d0b0665c15eeed83609d
海宁新闻综合,https://p2hs.vzan.com/slowlive/317913155078575177/live.m3u8
海宁生活服务,https://p2hs.vzan.com/slowlive/140655701702632623/live.m3u8
舟山新闻综合,https://ali-xwl.cztv.com:443/live/zhoushands.m3u8
宁海新闻综合,http://33658.hlsplay.aodianyun.com/tv_radio_33658/tv_channel_1423.m3u8
嘉善新闻综合,https://p2hs.vzan.com/slowlive/633251673265558519/live.m3u8
金华新闻综合,https://ali-xwl.cztv.com:443/live/jinhuads.m3u8
永康新闻综合,http://play-sh13.quklive.com/live/1625061424267104.m3u8?auth_key=2064369916-5175b4328f5a4815bf426eb2843c287d-0-9bbcfcaa44b1add0f9ad717d1e70183f
永康华溪,http://play-sh13.quklive.com/live/1625062755227231.m3u8?auth_key=2064370122-a4a517903af44daa9c833a605f3ce27b-0-7e12011519500f96efbefbf94dcf5931
和合频道,http://play-sh13.quklive.com/live/1617072208961931.m3u8?auth_key=2064370572-8c2f1a173df04e44b0b00ee8ae3d4e14-0-aa5ec8de20d7114655a630fae203b719
玉环新闻综合,http://play-sh13.quklive.com/live/1728627049847070.m3u8?auth_key=2064370783-bf8e5b55204c41edb38eaf4872e5ab16-0-f6c48bda9274d801cfab1a9a39f83914
景宁电视台,http://play-sh13.quklive.com/live/1644806967279134.m3u8?auth_key=2028414135-4b37fe7ecf6f4bc885be521dce9c5557-0-3e75261655836c9ed51687146268dad4
常山新闻综合,http://play-sh13.quklive.com/live/1621306190044902.m3u8?auth_key=2064374706-a845f255d7194af0a91f35f374802e77-0-e36c85cb0d6f7e683d7adcf5ffb35807
江山新闻综合,http://play-sh13.quklive.com/live/1623117710666335.m3u8?auth_key=2064374936-279970252b6b460f87de3a36c317a33f-0-fe2ae623d22faeb93a12c1137e56befe
开化新闻综合,http://play-sh13.quklive.com/live/1721295786810240.m3u8?auth_key=2064375117-5b7bceb650e94723965f3ead1446cb82-0-b15f90e9a40bf02710a3dbbec2f70a47
衢江综合,http://play-sh13.quklive.com/live/1700720505174325.m3u8?auth_key=2064375472-41d63b8e9fa640e095524f887b847e00-0-994761d464fe3040362842f794f42c9f
遂昌综合,http://play-sh13.quklive.com/live/1708426592499070.m3u8?auth_key=2028414342-e92bda8423ad478c987a8b7ae82abe0e-0-c616f7fabb9675e1ed1d84d9edae7e07
萧山综合,http://play-sh13.quklive.com/live/1678438003663132.m3u8?auth_key=2064375677-bb8995ab85d243389946058528cc91d5-0-b52030f5311fbd6ad861a7c22ada7a13
余姚姚江文化,http://play-sh13.quklive.com/live/1728440422705076.m3u8?auth_key=2064364726-003057852bcb4a36a19996ab067e84a7-0-84bb8ddb1088d37c36c90f82e5531219
苍南新闻综合,http://hls.quklive.com/live/play-sh-21.quklive.com/1726543353849105.m3u8?auth_key=2064365220-c09cf6680f96440ba7cd4da94432c20c-0-c119fc6d113674617adad84a908927e1
洞头综合,http://hls.quklive.com/live/play-sh-21.quklive.com/1735612228127376.m3u8?auth_key=2064365882-c711d773a9d54104923d917e511e9b33-0-adc32957143aeb14b02c0e1cf1050796
武义新闻综合,http://play-sh13.quklive.com/live/1707437639053211.m3u8?auth_key=2064370307-c7eb1320375948e7a1cb15855f689bdd-0-315ee5908d9cededc1ca4c53117406b0
龙泉综合,http://play-sh13.quklive.com/live/1721354859785237.m3u8?auth_key=2064371299-81b46b11fb4b4948b8b272f34aa37317-0-25b98db04c6680ed171e0140abc2e938
台州新闻综合,https://ali-xwl.cztv.com:443/live/taizhouds.m3u8
丽水新闻综合,https://ali-xwl.cztv.com:443/live/lishuids.m3u8
温州新闻综合,https://ali-xwl.cztv.com:443/live/wenzhouds.m3u8
温州新闻综合,http://play-qk.wzrb.com.cn/live/1728463192330572.m3u8?auth_key=2044351793-fa66d1d33e3d426ca3dccb94845595d7-0-4bc36ce83dfac0c77ddd501ffe397bcc
龙港综合,http://play-qukan.cztv.com/live/1722309876941077.m3u8
龙港综合,http://play-qukan.cztv.com/live/1722309876941077.flv
龙港综合,rtmp://play-qukan.cztv.com/live/1722309876941077


浙江之声,http://ali-m-l.cztv.com/channels/lantian/fm88/128k.m3u8
浙江新闻广播,http://ali-m-l.cztv.com/channels/lantian/fm988/128k.m3u8
浙江广播经济,http://ali-m-l.cztv.com/channels/lantian/fm95/128k.m3u8
浙江民生资讯,http://ali-m-l.cztv.com/channels/lantian/fm996/128k.m3u8
浙江音乐调频,http://ali-m-l.cztv.com/channels/lantian/fm968/128k.m3u8
浙江交通之声,http://ali-m-l.cztv.com/channels/lantian/fm93/128k.m3u8
浙江旅游之声,http://ali-m-l.cztv.com/channels/lantian/fm1045/128k.m3u8
浙江城市之声,http://ali-m-l.cztv.com/channels/lantian/fm107/128k.m3u8
上海电信-组播1,#genre#

上海电信-组播2,#genre#

上海电信-组播3,#genre#

上海移动-组播1,#genre#
上海联通-组播1,#genre#

上海联通-组播2,#genre#

上海联通-组播3,#genre#

云南电信-组播1,#genre#

云南电信-组播2,#genre#

云南电信-组播3,#genre#

云南移动-组播1,#genre#

云南移动-组播2,#genre#

云南移动-组播3,#genre#

云南联通-组播1,#genre#

云南联通-组播2,#genre#

云南联通-组播3,#genre#

内蒙古电信-组播1,#genre#
内蒙古电信-组播2,#genre#
内蒙古电信-组播3,#genre#
内蒙古联通-组播1,#genre#
BRTV卡酷少儿,http://116.114.139.68:8686/udp/239.125.1.127:4130
CCTV-1 综合,http://116.114.139.68:8686/udp/239.125.1.177:4130
CCTV-1 综合,http://116.114.139.68:8686/udp/239.125.2.219:4120
CCTV-1 综合,http://116.114.139.68:8686/udp/239.125.2.66:4120
CCTV-2 财经,http://116.114.139.68:8686/udp/239.125.1.118:4130
CCTV-2 财经,http://116.114.139.68:8686/udp/239.125.2.65:4120
CCTV-3 综艺,http://116.114.139.68:8686/udp/239.125.2.52:4120
CCTV-4 中文国际,http://116.114.139.68:8686/udp/239.125.1.141:4130
CCTV-4 中文国际,http://116.114.139.68:8686/udp/239.125.2.64:4120
CCTV-4 欧洲,http://116.114.139.68:8686/udp/239.125.2.196:4120
CCTV-4 美洲,http://116.114.139.68:8686/udp/239.125.2.197:4120
CCTV-5 体育,http://116.114.139.68:8686/udp/239.125.1.133:4130
CCTV-5 体育,http://116.114.139.68:8686/udp/239.125.2.54:4120
CCTV-5+ 体育赛事,http://116.114.139.68:8686/udp/239.125.1.57:5000
CCTV-6 电影,http://116.114.139.68:8686/udp/239.125.1.144:4130
CCTV-6 电影,http://116.114.139.68:8686/udp/239.125.2.56:4120
CCTV-7 国防军事,http://116.114.139.68:8686/udp/239.125.1.131:4130
CCTV-7 国防军事,http://116.114.139.68:8686/udp/239.125.2.63:4120
CCTV-8 电视剧,http://116.114.139.68:8686/udp/239.125.1.179:4130
CCTV-8 电视剧,http://116.114.139.68:8686/udp/239.125.2.58:4120
CCTV-9 纪录,http://116.114.139.68:8686/udp/239.125.1.142:4130
CCTV-9 纪录,http://116.114.139.68:8686/udp/239.125.2.62:4120
CCTV-10 科教,http://116.114.139.68:8686/udp/239.125.1.143:4130
CCTV-10 科教,http://116.114.139.68:8686/udp/239.125.2.61:4120
CCTV-11 戏曲,http://116.114.139.68:8686/udp/239.125.1.101:4120
CCTV-11 戏曲,http://116.114.139.68:8686/udp/239.125.1.134:4130
CCTV-12 社会与法,http://116.114.139.68:8686/udp/239.125.1.161:4130
CCTV-12 社会与法,http://116.114.139.68:8686/udp/239.125.2.60:4120
CCTV-13 新闻,http://116.114.139.68:8686/udp/239.125.1.53:4120
CCTV-14 少儿,http://116.114.139.68:8686/udp/239.125.1.162:4130
CCTV-14 少儿,http://116.114.139.68:8686/udp/239.125.2.59:4120
CCTV-15 音乐,http://116.114.139.68:8686/udp/239.125.1.102:4120
CCTV-15 音乐,http://116.114.139.68:8686/udp/239.125.1.163:4130
CCTV-16 奥林匹克,http://116.114.139.68:8686/udp/239.125.2.206:4120
CCTV-16 奥林匹克,http://116.114.139.68:8686/udp/239.125.2.218:4120
CCTV-17 农业农村,http://116.114.139.68:8686/udp/239.125.1.100:5000
CCTV-17 农业农村,http://116.114.139.68:8686/udp/239.125.2.204:4120
CCTV4K,http://116.114.139.68:8686/udp/239.125.1.214:4120
华数4K,http://116.114.139.68:8686/udp/239.125.1.24:5000
东方卫视4K,http://116.114.139.68:8686/udp/239.125.1.235:4120
北京卫视4K,http://116.114.139.68:8686/udp/239.125.2.105:4120
四川卫视4K,http://116.114.139.68:8686/udp/239.125.1.236:4120
山东卫视4K,http://116.114.139.68:8686/udp/239.125.1.237:4120
广东卫视4K,http://116.114.139.68:8686/udp/239.125.1.224:4120
江苏卫视4K,http://116.114.139.68:8686/udp/239.125.1.233:4120
浙江卫视4K,http://116.114.139.68:8686/udp/239.125.1.234:4120
深圳卫视4K,http://116.114.139.68:8686/udp/239.125.1.223:4120
湖南卫视4K,http://116.114.139.68:8686/udp/239.125.1.232:4120
CETV1,http://116.114.139.68:8686/udp/239.125.1.139:4130
CETV1,http://116.114.139.68:8686/udp/239.125.1.204:4120
CETV2,http://116.114.139.68:8686/udp/239.125.1.29:5000
CETV4,http://116.114.139.68:8686/udp/239.125.1.110:4120
CGTN,http://116.114.139.68:8686/udp/239.125.1.140:4130
CGTN,http://116.114.139.68:8686/udp/239.125.2.198:4120
CGTN俄语,http://116.114.139.68:8686/udp/239.125.2.203:4120
CGTN法语,http://116.114.139.68:8686/udp/239.125.2.201:4120
CGTN纪录,http://116.114.139.68:8686/udp/239.125.2.199:4120
CGTN西语,http://116.114.139.68:8686/udp/239.125.2.200:4120
CGTN阿语,http://116.114.139.68:8686/udp/239.125.2.202:4120
三沙卫视,http://116.114.139.68:8686/udp/239.125.1.180:4130
东南卫视,http://116.114.139.68:8686/udp/239.125.1.164:4130
东南卫视,http://116.114.139.68:8686/udp/239.125.2.77:4120
东方卫视,http://116.114.139.68:8686/udp/239.125.1.116:4130
东方卫视,http://116.114.139.68:8686/udp/239.125.2.82:4120
云南卫视,http://116.114.139.68:8686/udp/239.125.1.160:4130
云南卫视,http://116.114.139.68:8686/udp/239.125.1.231:4120
兵团卫视,http://116.114.139.68:8686/udp/239.125.1.135:4130
兵团卫视,http://116.114.139.68:8686/udp/239.125.1.229:4120
北京卫视,http://116.114.139.68:8686/udp/239.125.1.176:4130
北京卫视,http://116.114.139.68:8686/udp/239.125.2.73:4120
吉林卫视,http://116.114.139.68:8686/udp/239.125.2.191:4120
吉林卫视,http://116.114.139.68:8686/udp/239.125.2.205:4120
四川卫视,http://116.114.139.68:8686/udp/239.125.1.175:4130
四川卫视,http://116.114.139.68:8686/udp/239.125.1.240:4120
四川卫视,http://116.114.139.68:8686/udp/239.125.2.79:4120
天津卫视,http://116.114.139.68:8686/udp/239.125.1.153:4130
天津卫视,http://116.114.139.68:8686/udp/239.125.2.81:4120
宁夏卫视,http://116.114.139.68:8686/udp/239.125.1.157:4130
宁夏卫视,http://116.114.139.68:8686/udp/239.125.1.230:4120
安徽卫视,http://116.114.139.68:8686/udp/239.125.1.173:4130
安徽卫视,http://116.114.139.68:8686/udp/239.125.2.78:4120
山东卫视,http://116.114.139.68:8686/udp/239.125.1.149:4130
山东卫视,http://116.114.139.68:8686/udp/239.125.2.75:4120
山东教育,http://116.114.139.68:8686/udp/239.125.1.178:4130
山西卫视,http://116.114.139.68:8686/udp/239.125.1.119:4130
广东卫视,http://116.114.139.68:8686/udp/239.125.1.154:4130
广东卫视,http://116.114.139.68:8686/udp/239.125.2.71:4120
广西卫视,http://116.114.139.68:8686/udp/239.125.1.167:4130
广西卫视,http://116.114.139.68:8686/udp/239.125.1.225:4120
新疆卫视,http://116.114.139.68:8686/udp/239.125.1.123:4130
新疆卫视,http://116.114.139.68:8686/udp/239.125.1.228:4120
江苏卫视,http://116.114.139.68:8686/udp/239.125.1.172:4130
江苏卫视,http://116.114.139.68:8686/udp/239.125.2.69:4120
江西卫视,http://116.114.139.68:8686/udp/239.125.1.174:4130
河北卫视,http://116.114.139.68:8686/udp/239.125.1.169:4130
河北卫视,http://116.114.139.68:8686/udp/239.125.2.70:4120
河南卫视,http://116.114.139.68:8686/udp/239.125.1.156:4130
河南卫视,http://116.114.139.68:8686/udp/239.125.1.215:4120
河南卫视,http://116.114.139.68:8686/udp/239.125.1.238:4120
浙江卫视,http://116.114.139.68:8686/udp/239.125.1.159:4130
浙江卫视,http://116.114.139.68:8686/udp/239.125.2.68:4120
海南卫视,http://116.114.139.68:8686/udp/239.125.1.165:4130
海南卫视,http://116.114.139.68:8686/udp/239.125.1.241:4120
海南卫视,http://116.114.139.68:8686/udp/239.125.2.189:4120
深圳卫视,http://116.114.139.68:8686/udp/239.125.1.166:4130
深圳卫视,http://116.114.139.68:8686/udp/239.125.2.76:4120
湖北卫视,http://116.114.139.68:8686/udp/239.125.1.152:4130
湖北卫视,http://116.114.139.68:8686/udp/239.125.2.74:4120
湖南卫视,http://116.114.139.68:8686/udp/239.125.1.170:4130
湖南卫视,http://116.114.139.68:8686/udp/239.125.2.67:4120
甘肃卫视,http://116.114.139.68:8686/udp/239.125.1.151:4130
甘肃卫视,http://116.114.139.68:8686/udp/239.125.2.190:4120
西藏卫视,http://116.114.139.68:8686/udp/239.125.1.226:4120
西藏卫视,http://116.114.139.68:8686/udp/239.125.1.117:4130
西藏卫视,http://116.114.139.68:8686/udp/239.125.1.227:4120
贵州卫视,http://116.114.139.68:8686/udp/239.125.1.158:4130
贵州卫视,http://116.114.139.68:8686/udp/239.125.2.80:4120
辽宁卫视,http://116.114.139.68:8686/udp/239.125.1.115:4130
辽宁卫视,http://116.114.139.68:8686/udp/239.125.2.72:4120
重庆卫视,http://116.114.139.68:8686/udp/239.125.1.168:4130
陕西卫视,http://116.114.139.68:8686/udp/239.125.1.155:4130
陕西卫视,http://116.114.139.68:8686/udp/239.125.1.239:4120
青海卫视,http://116.114.139.68:8686/udp/239.125.1.150:4130
黑龙江卫视,http://116.114.139.68:8686/udp/239.125.1.171:4130
黑龙江卫视,http://116.114.139.68:8686/udp/239.125.2.83:4120
内蒙古卫视,http://116.114.139.68:8686/udp/239.125.1.242:4120
内蒙古卫视,http://116.114.139.68:8686/udp/239.125.1.58:5000
内蒙古卫视,http://116.114.139.68:8686/udp/239.125.1.59:5000
内蒙古卫视,http://116.114.139.68:8686/udp/239.125.1.68:5000
内蒙古卫视,http://116.114.139.68:8686/udp/239.125.2.194:4120
内蒙古卫视,http://116.114.139.68:8686/udp/239.125.2.50:4120
内蒙古农牧,http://116.114.139.68:8686/udp/239.125.1.61:5000
内蒙古农牧,http://116.114.139.68:8686/udp/239.125.1.73:4120
内蒙古少儿,http://116.114.139.68:8686/udp/239.125.1.60:5000
内蒙古少儿,http://116.114.139.68:8686/udp/239.125.1.69:4120
内蒙古文体娱乐,http://116.114.139.68:8686/udp/239.125.1.62:5000
内蒙古文体娱乐,http://116.114.139.68:8686/udp/239.125.1.72:4120
内蒙古新闻综合,http://116.114.139.68:8686/udp/239.125.1.63:5000
内蒙古新闻综合,http://116.114.139.68:8686/udp/239.125.1.70:4120
内蒙古经济生活,http://116.114.139.68:8686/udp/239.125.1.64:5000
内蒙古经济生活,http://116.114.139.68:8686/udp/239.125.1.74:4120
内蒙古蒙古语卫视,http://116.114.139.68:8686/udp/239.125.1.65:5000
内蒙古蒙古语卫视,http://116.114.139.68:8686/udp/239.125.1.66:5000
内蒙古蒙古语文化,http://116.114.139.68:8686/udp/239.125.1.67:5000
内蒙古蒙古语文化,http://116.114.139.68:8686/udp/239.125.1.71:4120
九屏共赏,http://116.114.139.68:8686/udp/239.125.2.215:4120
卫视收视排行,http://116.114.139.68:8686/udp/239.125.2.214:4120
卫视收视排行,http://116.114.139.68:8686/udp/239.125.2.217:4120
本地频道展示,http://116.114.139.68:8686/udp/239.125.2.216:4120
呼伦贝尔新闻综合,http://116.114.139.68:8686/udp/239.125.2.177:4166
呼伦贝尔文化旅游,http://116.114.139.68:8686/udp/239.125.2.178:4167
赤峰新闻综合,http://116.114.139.68:8686/udp/239.125.2.156:4145
赤峰经济服务,http://116.114.139.68:8686/udp/239.125.2.155:4144
赤峰影视娱乐,http://116.114.139.68:8686/udp/239.125.2.154:4143
鄂尔多斯新闻综合http://116.114.139.68:8686/udp/239.125.2.165:4154
鄂尔多斯蒙语综合,http://116.114.139.68:8686/udp/239.125.2.162:4151
乌海新闻综合,http://116.114.139.68:8686/udp/239.125.2.167:4156
乌海都市生活,http://116.114.139.68:8686/udp/239.125.2.166:4155
包头新闻综合,http://116.114.139.68:8686/udp/239.125.2.187:4400
包头生活服务,http://116.114.139.68:8686/udp/239.125.2.186:4400
锡林郭勒新闻综合,http://116.114.139.68:8686/udp/239.125.2.158:4147
锡林郭勒娱乐,http://116.114.139.68:8686/udp/239.125.2.157:4146
巴彦淖尔新闻综合,http://116.114.139.68:8686/udp/239.125.2.159:4148
巴彦淖尔经济生活,http://116.114.139.68:8686/udp/239.125.2.169:4158
巴彦淖尔影视娱乐,http://116.114.139.68:8686/udp/239.125.2.168:4157
通辽新闻综合,http://116.114.139.68:8686/udp/239.125.2.160:4149
